ELITE DANGEROUS LEGACY CONSOLE - MATERIAL TRADERS

Snapshot: EDDB stations, 22 August 2022
Legacy-compatible entries: 1,634
Raw: 677 | Manufactured: 539 | Encoded: 418
Distances are straight-line light-years from Sol.

+-------------+-----------------------------+--------------------------------+--------------+
| Sol distance | System                      | Station                        | Trader type  |
|      130.13 | Inarajajara                 | Laval Terminal                 | Manufactured |
|      130.25 | Gliese 9553                 | O'Connor City                  | Manufactured |
|      130.25 | Ramit                       | Diesel Ring                    | Raw          |
|      130.28 | Subra                       | Jahn Station                   | Raw          |
|      130.28 | Vucainigus                  | Leavitt Port                   | Manufactured |
|      130.29 | Maityan                     | Maughmer Ring                  | Raw          |
|      130.35 | Yapelici                    | Kubasov Station                | Manufactured |
|      130.37 | Warnones                    | Humboldt Station               | Raw          |
|      130.38 | Betse Aibes                 | Williams Station               | Manufactured |
|      130.45 | HIP 71515                   | Velho Dock                     | Manufactured |
|      130.51 | HIP 58412                   | Pawelczyk Dock                 | Manufactured |
|      130.54 | Tengye                      | Braun Orbital                  | Raw          |
|      130.61 | Nariansan                   | Burkin Hub                     | Raw          |
|      130.68 | HIP 55459                   | Kennedy Port                   | Manufactured |
|      130.69 | Yakaeriate                  | Gresley Ring                   | Encoded      |
|      130.70 | Kuru                        | Carstensz Dock                 | Raw          |
|      130.73 | Bhare                       | Pacheco Orbital                | Manufactured |
|      130.77 | Nakula                      | Fisher Port                    | Raw          |
|      130.78 | Peckolsumij                 | Zamyatin Co-operative          | Manufactured |
|      130.94 | Ewah                        | Newton City                    | Manufactured |
|      130.98 | HIP 54530                   | Northrop Enterprise            | Encoded      |
|      131.01 | HIP 37162                   | Serebrov Ring                  | Encoded      |
|      131.05 | HIP 2453                    | Lubin Ring                     | Manufactured |
|      131.06 | HIP 1885                    | Nijland Station                | Raw          |
|      131.07 | HIP 76768                   | Bethe Orbital                  | Manufactured |
|      131.27 | HIP 109528                  | Doyle Dock                     | Manufactured |
|      131.28 | Abrog                       | Thagard Ring                   | Manufactured |
|      131.39 | Njemari                     | Ramsbottom Station             | Raw          |
|      131.39 | Waimi                       | Hahn Dock                      | Manufactured |
|      131.44 | Mendego                     | Koch City                      | Manufactured |
|      131.46 | Hurukuntak                  | Bauschinger Terminal           | Encoded      |
|      131.50 | HIP 9599                    | Guidoni Enterprise             | Manufactured |
|      131.56 | HIP 43477                   | Hilbert Dock                   | Manufactured |
|      131.76 | Feng Tanga                  | Weaver Port                    | Encoded      |
|      131.86 | Ga Gu                       | Fernandes Dock                 | Manufactured |
|      132.10 | HIP 43756                   | Jensen Ring                    | Manufactured |
|      132.11 | Pisamazin                   | Ghez City                      | Raw          |
|      132.16 | Ankou                       | Kirby Orbital                  | Encoded      |
|      132.22 | Berrivi                     | Rashid Station                 | Raw          |
|      132.29 | Grafias                     | Gubarev Landing                | Encoded      |
|      132.31 | HIP 63322                   | Crowley Dock                   | Manufactured |
|      132.42 | Erio                        | Babakin Hub                    | Encoded      |
|      132.46 | HIP 65632                   | Springer Dock                  | Raw          |
|      132.50 | HIP 13653                   | Vinge Dock                     | Raw          |
|      132.54 | Yama                        | Akers Hub                      | Raw          |
|      132.62 | HIP 19428                   | Fontana Gateway                | Manufactured |
|      132.66 | Khruvani                    | Disch Station                  | Manufactured |
|      132.84 | 64 Ceti                     | Jensen Gateway                 | Raw          |
|      132.91 | Yukpenon                    | Stokes Enterprise              | Raw          |
|      132.96 | HIP 80096                   | Franklin Terminal              | Manufactured |
|      133.02 | Enawar                      | Adams Dock                     | Raw          |
|      133.13 | Nasiaverni                  | Marshburn Station              | Manufactured |
|      133.46 | Lulunguni                   | Lovelace Terminal              | Raw          |
|      133.54 | Lu Wanja                    | Carr Enterprise                | Manufactured |
|      133.69 | HIP 10322                   | Linteris Ring                  | Encoded      |
|      133.70 | Nijuna                      | Potez Station                  | Raw          |
|      133.75 | Bokowatiko                  | Johnson Orbital                | Manufactured |
|      133.81 | HIP 18187                   | Tuttle Gateway                 | Encoded      |
|      133.89 | Osanartar                   | Ayton Innes Port               | Manufactured |
|      133.91 | Songbe                      | Precourt City                  | Manufactured |
|      133.91 | Erdi                        | Bresnik Orbital                | Raw          |
|      133.98 | Unelinte                    | Paulmier de Gonneville Station | Raw          |
|      134.13 | Maorsi                      | Karachkina City                | Encoded      |
|      134.16 | HIP 16343                   | Patsayev Port                  | Raw          |
|      134.25 | Tolians                     | Kuo Dock                       | Raw          |
|      134.28 | Li Jungu                    | Dantec Terminal                | Raw          |
|      134.29 | Het                         | Schweickart Terminal           | Raw          |
|      134.36 | 77 Aquarii                  | Chertok City                   | Raw          |
|      134.41 | HIP 79636                   | Nakamura City                  | Encoded      |
|      134.44 | Calch                       | McCandless Gateway             | Raw          |
|      134.46 | Daibara                     | McKay Port                     | Raw          |
|      134.53 | HR 5740                     | Morukov Hub                    | Manufactured |
|      134.55 | Bagalatuba                  | Becquerel Dock                 | Raw          |
|      134.61 | Machigga                    | Gooch Port                     | Raw          |
|      134.71 | Khwatka                     | Hernandez Dock                 | Manufactured |
|      134.72 | Mariarna                    | Frechet Gateway                | Raw          |
|      134.80 | Matec                       | Wafa Enterprise                | Raw          |
|      134.82 | HR 1201                     | Antonelli Station              | Raw          |
|      134.95 | Abasses                     | Morrow Vision                  | Raw          |
|      135.06 | HIP 91187                   | Thompson Port                  | Raw          |
|      135.13 | HIP 43670                   | Shaara Gateway                 | Manufactured |
|      135.17 | Rindjibal                   | Lopez de Legazpi Orbital       | Raw          |
|      135.33 | Tsao Wang                   | Budarin Terminal               | Manufactured |
|      135.36 | Lan Tie Yu                  | Herrington Vision              | Manufactured |
|      135.43 | Gamatcho                    | Fabian Hub                     | Manufactured |
|      135.46 | HIP 41090                   | Henderson City                 | Manufactured |
|      135.50 | Wolf 1431                   | Qureshi Enterprise             | Encoded      |
|      135.52 | Bhutas                      | Feynman Terminal               | Encoded      |
|      135.56 | 12 Lambda Coronae Borealis  | Tucker City                    | Manufactured |
|      135.60 | Morrigan                    | Tryggvason City                | Manufactured |
|      135.64 | Yaming                      | Makeev Orbital                 | Raw          |
|      135.67 | Trinar                      | McClintock Terminal            | Manufactured |
|      135.74 | CD-51 102                   | McDermott Enterprise           | Encoded      |
|      135.79 | Guai Shou                   | Bakewell Gateway               | Manufactured |
|      135.81 | Gui Banni                   | Wilder Port                    | Raw          |
|      135.81 | Koirada                     | Gooch Orbital                  | Manufactured |
|      135.82 | Varli                       | Qureshi Enterprise             | Raw          |
|      135.93 | Savantzil                   | He Dock                        | Raw          |
|      135.98 | HIP 67152                   | Kubasov Gateway                | Encoded      |
|      135.99 | HIP 53509                   | Glidden Gateway                | Encoded      |
|      136.01 | Dakshalli                   | Reeves Dock                    | Raw          |
|      136.11 | Kausa                       | Volta Dock                     | Raw          |
|      136.12 | Teppanik                    | Ohm Terminal                   | Encoded      |
|      136.25 | HD 222582                   | McMonagle Ring                 | Raw          |
|      136.29 | Yen K'uie                   | Siddha Gateway                 | Encoded      |
|      136.55 | Njiri                       | Helin Dock                     | Raw          |
|      136.58 | HIP 18828                   | Ruppelt City                   | Encoded      |
|      136.63 | HIP 44791                   | Scheutz Dock                   | Raw          |
|      136.68 | HIP 74734                   | Arrhenius Station              | Encoded      |
|      136.71 | HIP 18327                   | Stevens Orbital                | Raw          |
|      136.71 | Gio                         | Issigonis Enterprise           | Raw          |
|      136.74 | Wuli                        | Behnken Gateway                | Encoded      |
|      136.75 | HIP 94863                   | Grimwood Ring                  | Encoded      |
|      136.78 | Bakaduninka                 | Vinge Ring                     | Raw          |
|      136.89 | HIP 7420                    | Morgan Terminal                | Raw          |
|      137.01 | Ross 777                    | Bradley Dock                   | Manufactured |
|      137.05 | Pendilla                    | Tyurin Orbital                 | Encoded      |
|      137.06 | Bajoji                      | Cramer Gateway                 | Encoded      |
|      137.06 | Sairwar                     | Malocello Orbital              | Raw          |
|      137.19 | Dechengh                    | Fischer City                   | Manufactured |
|      137.24 | HIP 58945                   | Garfinkle Dock                 | Manufactured |
|      137.39 | Liu Yines                   | Baraniecki Orbital             | Encoded      |
|      137.57 | Cotidji                     | Dayuan Co-operative            | Raw          |
|      137.60 | Nankobi                     | Deslandres Station             | Manufactured |
|      137.79 | Wulidjin                    | Nikolayev Ring                 | Manufactured |
|      137.81 | Paraudika                   | Tem Station                    | Manufactured |
|      137.86 | HIP 116033                  | Auwers Terminal                | Manufactured |
|      137.99 | Maricoriang                 | Sekowski Dock                  | Raw          |
|      138.18 | Basuki An                   | Jacobi Hub                     | Manufactured |
|      138.21 | Ch'i Lin                    | Fallows Orbital                | Manufactured |
|      138.23 | HIP 83204                   | Ciferri Ring                   | Raw          |
|      138.29 | Ethwain                     | Shalatula Gateway              | Raw          |
|      138.31 | HIP 75262                   | Ochoa Terminal                 | Encoded      |
|      138.40 | Mopaditis                   | Mayor Port                     | Encoded      |
|      138.41 | Picuni                      | Arrhenius Gateway              | Raw          |
|      138.44 | Oppi                        | Reiter City                    | Raw          |
|      138.50 | Hiranyaksha                 | Wood Ring                      | Encoded      |
|      138.60 | Ross 444                    | Chretien Terminal              | Raw          |
|      138.72 | Medungni                    | Bester Enterprise              | Encoded      |
|      138.75 | Kwakwakwal                  | Thagard Station                | Manufactured |
|      138.77 | Indraseno                   | McMonagle Station              | Manufactured |
|      138.90 | Paliti                      | Schmitz Port                   | Manufactured |
|      139.03 | HIP 53051                   | Peary Enterprise               | Manufactured |
|      139.07 | HIP 223                     | Gibson Ring                    | Encoded      |
|      139.11 | Zorya Nong                  | Struzan Enterprise             | Raw          |
|      139.48 | HIP 71682                   | Bachman Orbital                | Manufactured |
|      139.74 | Frigga                      | Henson Ring                    | Manufactured |
|      139.77 | Cennicenino                 | Zahn Enterprise                | Raw          |
|      139.78 | Bakabienil                  | Smith Terminal                 | Raw          |
|      139.79 | Tvastyas                    | Howard Terminal                | Raw          |
|      139.81 | Gladyangar                  | Debye Dock                     | Raw          |
|      139.89 | Gautas                      | Levy Dock                      | Encoded      |
|      140.01 | HIP 15266                   | Linnehan Orbital               | Raw          |
|      140.12 | Baramanago                  | Fremion Dock                   | Raw          |
|      140.21 | HIP 76701                   | Rubruck Dock                   | Manufactured |
|      140.34 | HIP 53898                   | Fowler Enterprise              | Raw          |
|      140.38 | Sharamo                     | Slipher Terminal               | Manufactured |
|      140.79 | NLTT 7856                   | Hussey Survey                  | Raw          |
|      140.98 | Adeka                       | Helms Orbital                  | Raw          |
|      141.05 | Suya                        | Rutherford Port                | Encoded      |
|      141.10 | HIP 9659                    | Shinn City                     | Raw          |
|      141.14 | Goller                      | Ban Enterprise                 | Encoded      |
|      141.22 | Dian                        | Fallows Orbital                | Raw          |
|      141.28 | Tlakakaltan                 | Harding Orbital                | Raw          |
|      141.41 | Wei Chang                   | Ray City                       | Encoded      |
|      141.49 | Caspatsuria                 | Binney Dock                    | Raw          |
|      141.50 | Mulac                       | Benz City                      | Raw          |
|      141.53 | Guan Tun                    | Crouch Orbital                 | Manufactured |
|      141.56 | HR 6565                     | Naubakht Station               | Encoded      |
|      141.65 | Chuanabosso                 | Quick Vision                   | Encoded      |
|      141.66 | Bhairmat                    | Boming Gateway                 | Manufactured |
|      141.66 | Loperada                    | Bloch Vision                   | Encoded      |
|      141.67 | Kirram                      | Disch Station                  | Encoded      |
|      141.73 | Chengurr                    | Hilmers Terminal               | Manufactured |
|      141.88 | HIP 21923                   | Samuda Enterprise              | Raw          |
|      142.07 | HIP 96854                   | Dowie Port                     | Raw          |
|      142.12 | Havalokul                   | Fidalgo Dock                   | Encoded      |
|      142.32 | Kholu                       | Abetti Vision                  | Encoded      |
|      142.53 | New Chana                   | Tilman Point                   | Manufactured |
|      142.60 | HIP 71276                   | J. G. Ballard Orbital          | Encoded      |
|      142.70 | HIP 12779                   | Rechtin Vision                 | Raw          |
|      142.72 | Kwatsu                      | Fossum Ring                    | Raw          |
|      142.72 | Eledolyaks                  | Kimberlin Ring                 | Manufactured |
|      142.88 | HIP 12605                   | Rigaux Gateway                 | Raw          |
|      142.92 | Choujem                     | Gromov Orbital                 | Manufactured |
|      143.06 | Swazahua                    | Narvaez Terminal               | Raw          |
|      143.13 | HIP 20277                   | Fabian City                    | Raw          |
|      143.13 | HIP 29312                   | Ohm Horizons                   | Encoded      |
|      143.17 | Jormor                      | Cardano Port                   | Raw          |
|      143.36 | HR 7047                     | Grant Dock                     | Raw          |
|      143.36 | Karama                      | i Sola Ring                    | Raw          |
|      143.46 | Latucano                    | Jeury Hub                      | Raw          |
|      143.48 | Xuangu                      | Schroter Terminal              | Encoded      |
|      143.70 | Atorii                      | Lu Terminal                    | Raw          |
|      143.73 | HIP 96932                   | Bond Dock                      | Raw          |
|      143.93 | Bered                       | Horch Orbital                  | Manufactured |
|      144.09 | HIP 8109                    | Beebe Dock                     | Manufactured |
|      144.15 | Mehit                       | Bottego Hub                    | Raw          |
|      144.16 | Saka                        | Zel'dovich Station             | Manufactured |
|      144.22 | Wurango                     | Piaget Orbital                 | Encoded      |
|      144.28 | Lakurbal                    | Schrodinger City               | Raw          |
|      144.45 | HIP 53257                   | Rawn Orbital                   | Manufactured |
|      144.51 | HIP 81010                   | Polansky Hub                   | Raw          |
|      144.59 | Avikarli                    | Killough Vision                | Encoded      |
|      144.59 | HIP 99680                   | Hubble Gateway                 | Manufactured |
|      144.61 | HIP 46236                   | Yamazaki Station               | Raw          |
|      144.68 | HIP 7564                    | Stewart Orbital                | Raw          |
|      144.76 | HIP 78074                   | Sargent City                   | Manufactured |
|      144.90 | Betseoltana                 | Henricks Port                  | Raw          |
|      144.97 | Satva                       | Borisenko Ring                 | Raw          |
|      144.99 | Baroahy                     | Treshchov Gateway              | Raw          |
|      145.13 | Guan Yun                    | Darlton Terminal               | Raw          |
|      145.32 | Xuanec                      | Ibold Port                     | Raw          |
|      145.35 | HIP 94501                   | Leopold Orbital                | Raw          |
|      145.42 | Ross 750                    | Holdstock Hub                  | Manufactured |
|      145.47 | Lombi                       | Xin Hub                        | Raw          |
|      145.54 | HIP 100379                  | Cesar Janssen Gateway          | Raw          |
|      145.54 | Aowicha                     | Altman Ring                    | Raw          |
|      145.65 | Phraces                     | Potter Enterprise              | Raw          |
|      145.72 | Giryampi                    | Cottenot Terminal              | Encoded      |
|      145.84 | Alkuylkano                  | Ryumin Orbital                 | Manufactured |
|      145.86 | HIP 75446                   | Crowley Enterprise             | Encoded      |
|      145.87 | Kungadutji                  | Marusek City                   | Raw          |
|      145.93 | Dongasa                     | Dawson Enterprise              | Raw          |
|      145.94 | Yulandh                     | Berners-Lee City               | Manufactured |
|      145.95 | Jitabos                     | Finney Ring                    | Encoded      |
|      146.11 | Iteliuona                   | Krylov Hub                     | Manufactured |
|      146.21 | HIP 1427                    | Parazynski Port                | Encoded      |
|      146.23 | Valtam                      | Dalton Terminal                | Raw          |
|      146.25 | CD-53 136                   | Schuster Dock                  | Raw          |
|      146.26 | Chande                      | Heng Port                      | Manufactured |
|      146.34 | Idini                       | Gurney Enterprise              | Encoded      |
|      146.45 | Lodhary                     | Lagrange Gateway               | Raw          |
|      146.54 | Songballa                   | Herbert Dock                   | Manufactured |
|      146.58 | HIP 105368                  | Newcomb Dock                   | Encoded      |
|      146.59 | 25 d2 Cancri                | Doi Station                    | Raw          |
|      146.66 | Avalon                      | Noctilux                       | Encoded      |
|      146.90 | Nehet                       | Xuesen Orbital                 | Encoded      |
|      146.92 | Igalumathi                  | Szilard Orbital                | Raw          |
|      147.04 | HIP 80065                   | Cayley Station                 | Encoded      |
|      147.15 | Ndanbain                    | Linteris Orbital               | Raw          |
|      147.20 | Djeriman                    | Stebler City                   | Raw          |
|      147.21 | Gliese 44                   | Rizvi Orbital                  | Raw          |
|      147.27 | Marian Nungari              | West Orbital                   | Raw          |
|      147.39 | Amuzgo                      | Geston Gateway                 | Raw          |
|      147.66 | HIP 99241                   | Beadle Ring                    | Manufactured |
|      147.70 | Zuruaha                     | O'Connor Dock                  | Raw          |
|      147.85 | Bochica                     | Ziegel Orbital                 | Manufactured |
|      148.04 | Laksar                      | Mandel Port                    | Encoded      |
|      148.12 | HIP 48391                   | Bushkov City                   | Raw          |
|      148.14 | HIP 36485                   | Alexeyev Hub                   | Encoded      |
|      148.25 | Irusan                      | Bella Port                     | Manufactured |
|      148.29 | HIP 12638                   | Galouye Gateway                | Raw          |
|      148.31 | Shokuth                     | Hyecho Port                    | Raw          |
|      148.41 | Kappa                       | Poisson Orbital                | Encoded      |
|      148.45 | Adnoannoda                  | Boyle Enterprise               | Raw          |
|      148.48 | Chuku                       | Hahn Terminal                  | Raw          |
|      148.63 | HIP 49161                   | Shiras Terminal                | Raw          |
|      148.69 | Fu Xianses                  | Benford Colony                 | Raw          |
|      148.70 | Lundji                      | Singer Hub                     | Manufactured |
|      148.74 | Audheim                     | Lanier Ring                    | Raw          |
|      148.85 | Ngandins                    | Cavalieri City                 | Encoded      |
|      149.11 | Jaakari                     | Haxel Orbital                  | Raw          |
|      149.22 | Soyota                      | Gohar Hub                      | Manufactured |
|      149.24 | Concani                     | Grant Enterprise               | Manufactured |
|      149.24 | Koli Discii                 | MacLean Terminal               | Raw          |
|      149.25 | Kuwair                      | Thornycroft Terminal           | Encoded      |
|      149.32 | Karka                       | Chandler Ring                  | Raw          |
|      149.36 | Polecteri                   | Hudson Ring                    | Manufactured |
|      149.37 | HIP 20019                   | Selye Orbital                  | Manufactured |
|      149.38 | Igboniu                     | Harness City                   | Encoded      |
|      149.43 | Holvandalla                 | Shalatula Ring                 | Manufactured |
|      149.46 | Cumalam                     | Ambartsumian Dock              | Raw          |
|      149.51 | Cerni                       | Sagan Port                     | Raw          |
|      149.53 | Ba Devaci                   | Bardeen Hub                    | Manufactured |
|      149.61 | Addovik                     | Ziegler Dock                   | Raw          |
|      149.68 | HIP 75124                   | Svavarsson Gateway             | Raw          |
|      149.80 | Bukua                       | Harvey Orbital                 | Manufactured |
|      149.92 | Veroo                       | Hunziker Terminal              | Manufactured |
|      150.02 | BD+48 738                   | Linnaeus Enterprise            | Raw          |
|      150.07 | Janjiwa                     | White Station                  | Raw          |
|      150.18 | Akba Atacab                 | Jones City                     | Manufactured |
|      150.23 | Gende                       | Baliunas Hub                   | Encoded      |
|      150.37 | Ghekree                     | Heceta Terminal                | Raw          |
|      150.57 | Shosak                      | Afanasyev Orbital              | Raw          |
|      150.71 | Murato                      | Tietjen Ring                   | Encoded      |
|      150.91 | Sakar                       | Shirley Station                | Raw          |
|      151.10 | Wayilwa                     | Shonin Gateway                 | Raw          |
|      151.11 | HIP 64131                   | Caselberg Orbital              | Encoded      |
|      151.19 | Monjadi                     | Noriega Port                   | Manufactured |
|      151.22 | Kamas                       | Beg Terminal                   | Encoded      |
|      151.30 | Cocopa                      | Walter Station                 | Raw          |
|      151.37 | Turni                       | Liska Hub                      | Manufactured |
|      151.38 | Siro                        | Garneau Gateway                | Manufactured |
|      151.48 | 17 Kappa-1 Bootis           | Grimwood Enterprise            | Raw          |
|      151.86 | HIP 23716                   | Wakata Station                 | Raw          |
|      152.16 | HR 404                      | Wasden Enterprise              | Manufactured |
|      152.23 | Macuayan                    | Tarter Dock                    | Encoded      |
|      152.23 | HIP 23027                   | Sawyer Vision                  | Manufactured |
|      152.34 | Russa                       | Lee Gateway                    | Raw          |
|      152.35 | Meliontit                   | Abe Hub                        | Encoded      |
|      152.37 | Pukkeitsi                   | Chiao Hub                      | Raw          |
|      152.66 | Zvaithhogg                  | Laming Vision                  | Encoded      |
|      152.81 | Koamu Yi                    | Moore Dock                     | Raw          |
|      152.82 | HIP 73269                   | Pournelle Terminal             | Raw          |
|      152.87 | Tarakah                     | Evans Port                     | Raw          |
|      152.88 | HIP 3930                    | Pratchett Gateway              | Raw          |
|      152.94 | Concordia                   | Stillman Hub                   | Encoded      |
|      152.99 | HIP 305                     | Mohr Port                      | Encoded      |
|      152.99 | HIP 110887                  | Antonov Port                   | Raw          |
|      152.99 | HR 1717                     | Martins Dock                   | Manufactured |
|      153.01 | Valis                       | Mitchell Hub                   | Raw          |
|      153.02 | Jok Odudu                   | August von Steinheil Vision    | Raw          |
|      153.13 | Ebana                       | Caillie Hub                    | Encoded      |
|      153.15 | HIP 12067                   | Vaucanson Gateway              | Raw          |
|      153.45 | Amariba                     | Newcomen Gateway               | Raw          |
|      153.49 | HIP 1866                    | Gulyaev City                   | Manufactured |
|      153.62 | Gienah                      | Nourse Orbital                 | Raw          |
|      153.63 | Kairrodo                    | Yu Dock                        | Manufactured |
|      153.72 | HR 1403                     | Chang-Diaz Station             | Raw          |
|      153.73 | HIP 20527                   | Wundt Ring                     | Raw          |
|      153.77 | HIP 85285                   | Samuda Dock                    | Manufactured |
|      153.79 | 30 Ceti                     | Schiaparelli Vision            | Encoded      |
|      153.80 | Laga                        | Reynolds City                  | Manufactured |
|      154.04 | Ariameni                    | Patrick Enterprise             | Raw          |
|      154.05 | Sapiety                     | Skripochka Hub                 | Raw          |
|      154.13 | San Wu                      | Evans Orbital                  | Manufactured |
|      154.22 | HIP 117036                  | Wegener Station                | Raw          |
|      154.34 | Kapurri                     | Rosse Dock                     | Raw          |
|      154.36 | Thridan                     | Rozhdestvensky Enterprise      | Raw          |
|      154.55 | Hou Yangk                   | Bunsen Port                    | Manufactured |
|      154.58 | Atatis                      | Abel Terminal                  | Encoded      |
|      154.60 | Lida                        | Murray Settlement              | Raw          |
|      154.78 | HR 4373                     | Haber Dock                     | Manufactured |
|      154.80 | Magari                      | Baturin Station                | Manufactured |
|      154.82 | Liu Di                      | Sudworth Orbital               | Encoded      |
|      154.93 | HIP 112113                  | Nomen Vision                   | Encoded      |
|      155.06 | Onuris                      | Stokes Dock                    | Manufactured |
|      155.07 | Kao Wanga                   | De City                        | Manufactured |
|      155.10 | HIP 9414                    | Mori Station                   | Raw          |
|      155.21 | Kaiakul                     | Barlowe Station                | Raw          |
|      155.23 | Ember                       | van Houten Station             | Raw          |
|      155.39 | Aspelintup                  | Kavandi Gateway                | Manufactured |
|      155.50 | Evnike                      | Burstein Port                  | Manufactured |
|      155.52 | Latones                     | Clark Ring                     | Raw          |
|      155.59 | Li Nang Yi                  | Velho City                     | Manufactured |
|      155.64 | Woyo Mina                   | Cannon Vision                  | Raw          |
|      155.67 | Almad                       | Heinkel City                   | Raw          |
|      155.74 | HIP 101587                  | Hynek Terminal                 | Encoded      |
|      155.96 | Ngartha                     | Savinykh Terminal              | Manufactured |
|      155.97 | Yudhumij                    | Zaschka City                   | Raw          |
|      156.26 | Clionenses                  | Ferguson Platform              | Raw          |
|      156.41 | Benapem                     | Shepherd Ring                  | Raw          |
|      156.44 | HR 6999                     | Slayton Port                   | Manufactured |
|      156.67 | HR 826                      | Bradfield Ring                 | Encoded      |
|      156.74 | Andrungarri                 | Disch Port                     | Manufactured |
|      156.87 | Kitchang Mu                 | Stefansson Station             | Encoded      |
|      156.88 | HIP 107476                  | Ayers Vision                   | Encoded      |
|      156.97 | Wonno                       | Brashear City                  | Manufactured |
|      156.99 | Naunet                      | Zelazny Gateway                | Manufactured |
|      157.06 | Deive                       | Obruchev Orbital               | Encoded      |
|      157.13 | Tagomane                    | Thomas Dock                    | Raw          |
|      157.15 | Ahemakino                   | Mattingly Port                 | Manufactured |
|      157.16 | HIP 72600                   | Wnuk-Lipinski Enterprise       | Manufactured |
|      157.28 | Latuba                      | Soukup City                    | Encoded      |
|      157.29 | Nut                         | Babcock Gateway                | Encoded      |
|      157.33 | Mudrama Kaze                | Israel Port                    | Encoded      |
|      157.56 | HIP 69699                   | Starzl Colony                  | Manufactured |
|      157.86 | Lohan                       | Connes Port                    | Raw          |
|      157.88 | HIP 2311                    | Cayley Vision                  | Raw          |
|      157.95 | Jawul                       | Rushd City                     | Raw          |
|      157.98 | Cuachini                    | Gibson Gateway                 | Encoded      |
|      158.09 | HR 4720                     | Tarelkin Port                  | Manufactured |
|      158.18 | HIP 18714                   | Jackson Port                   | Raw          |
|      158.30 | Jang O                      | Poleshchuk Port                | Raw          |
|      158.41 | HIP 58180                   | Marius Orbital                 | Encoded      |
|      158.44 | Khan Gubii                  | Alpers City                    | Encoded      |
|      158.45 | HIP 60953                   | Pailes Vision                  | Encoded      |
|      158.45 | Hisaaka                     | Kahn Vision                    | Manufactured |
|      158.51 | Wu Kich                     | Tasman Vision                  | Encoded      |
|      158.66 | Luvalla                     | Ejeta Station                  | Encoded      |
|      158.84 | Achrende                    | Vogel Enterprise               | Encoded      |
|      158.84 | Beliukis                    | Conti Orbital                  | Raw          |
|      158.95 | Washodia                    | Rayhan al-Biruni Port          | Manufactured |
|      159.18 | Crom Dubh                   | Ball Station                   | Raw          |
|      159.40 | HIP 71527                   | Helms Enterprise               | Raw          |
|      159.41 | Bhado                       | Rasmussen Enterprise           | Raw          |
|      159.44 | Corbago                     | Pratchett Hub                  | Encoded      |
|      159.47 | Punavatii                   | Cayley Enterprise              | Raw          |
|      159.55 | Nyora                       | Pasteur Port                   | Raw          |
|      159.65 | Woyemsit                    | Lewis Hub                      | Raw          |
|      159.74 | HIP 21991                   | Charlois City                  | Encoded      |
|      159.79 | Yi Trica                    | Tshang Vision                  | Encoded      |
|      159.83 | Omukula                     | Wirtanen Orbital               | Raw          |
|      160.01 | Aakushu                     | Flagg Dock                     | Encoded      |
|      160.10 | Jou Tung                    | Padalka Station                | Raw          |
|      160.14 | Isitani                     | Creamer Ring                   | Manufactured |
|      160.19 | 14 Vulpeculae               | Gurragchaa Terminal            | Manufactured |
|      160.21 | HIP 103390                  | von Zach Station               | Raw          |
|      160.41 | Verovichili                 | Gibson Gateway                 | Manufactured |
|      160.52 | HIP 18339                   | Broglie Gateway                | Raw          |
|      160.52 | HIP 100500                  | Swigert Terminal               | Manufactured |
|      160.65 | Latormodur                  | Jung Terminal                  | Raw          |
|      160.66 | Bwgcolmasci                 | Hedin Station                  | Manufactured |
|      160.83 | Belaako                     | Lamarck Station                | Manufactured |
|      160.96 | Yukpeng                     | Oppenheimer Platform           | Raw          |
|      160.97 | Koara                       | Harding Gateway                | Manufactured |
|      161.00 | HIP 114530                  | Hansen City                    | Raw          |
|      161.05 | HIP 39391                   | Goulart Dock                   | Manufactured |
|      161.21 | Ipilyaqa                    | Furuta Orbital                 | Raw          |
|      161.23 | Patakaka                    | Pasteur City                   | Raw          |
|      161.30 | HR 8527                     | Seki Refinery                  | Raw          |
|      161.30 | CD-44 224                   | Koolhaas Vision                | Encoded      |
|      161.30 | HIP 42532                   | Gotz Ring                      | Raw          |
|      161.61 | HIP 52649                   | Dunbar City                    | Raw          |
|      161.74 | Nu Kuang                    | Bean Station                   | Encoded      |
|      161.80 | HIP 118213                  | Lorenz Hub                     | Raw          |
|      161.85 | Mangiliri                   | Bailey Vision                  | Raw          |
|      161.90 | HIP 20806                   | Parker Vision                  | Encoded      |
|      162.19 | Sanopijcha                  | Maire City                     | Manufactured |
|      162.27 | Eravians                    | Thuot Gateway                  | Manufactured |
|      162.35 | Equagei                     | Leckie City                    | Raw          |
|      162.47 | HIP 22616                   | Phillifent Dock                | Raw          |
|      162.98 | Bjortii                     | Vavrova Station                | Raw          |
|      163.10 | Machatkwa                   | Ikeya Orbital                  | Raw          |
|      163.13 | Asturindjin                 | Melvin Terminal                | Encoded      |
|      163.16 | Amanaye                     | Mieville Port                  | Raw          |
|      163.26 | Sokobii                     | Dashiell Orbital               | Raw          |
|      163.31 | Talantas                    | Scheerbart Orbital             | Raw          |
|      163.49 | Shoribelu                   | Johnson Dock                   | Raw          |
|      163.57 | Bibri                       | Maire Port                     | Raw          |
|      163.62 | Jamariges                   | Kidinnu Hub                    | Raw          |
|      163.67 | Shanteneri                  | Carnera Station                | Raw          |
|      163.69 | Kanooks                     | Drexler Port                   | Raw          |
